"question_id","question","answer","comment","source","packet","image_url","author"
"11","კრისტოფერ სტაშეფის ერთ-ერთ ფანტასტიკურ ნაწარმოებში ჩვენი თანამედროვე მოხვდება სხვა სამყაროში, სადაც იგი ჯადოქრად გადაიქცევა. იმისთვის, რათა მეგობრებს გასაჭირში ყოფნისას მისი გამოძახება შეძლებოდათ, მან დაამზადა სპეციალური თილისმა, რომლის აქტივირება “მაგიური სიტყვებით” - ციფრების კომბინაციით შეიძლებოდა. დაასახელეთ ეს მაგიური სიტყვები.","“ცხრა ერთი ერთი” (911 - სამაშველო სამსახურის ტელეფონის ნომერი აშშ-სა და ბევრ სხვა ქვეყანაში).","","","","",""
"12","საჰარაში ერთ-ერთ ბენზინგასამართ სადგურზე გამოკრულია პლაკატი წარწერით: “ჩაასხით ბენზინი მხოლოდ ჩვენთან, რადგან ყველა სხვა ახლომდებარე ბენზინგასამართი სადგური ...” დაასრულეთ ფრაზა.","“... რადგან ყველა სხვა ახლომდებარე ბენზინგასამართი სადგური - მირაჟია.”","","","","",""
"13","სოციოლოგიური გამოკითხვის თანახმად ბევრი ამერიკელი თვლის, რომ ამ ქიმიურ ელემენტს სახელი ეწოდა დისნეის პოპულარული პერსონაჟის საპატივსაცემოდ. რა ელემენტია ეს?","ეს ელემენტია პლუტონიუმი (დისნეის პერსონაჟი კი ძაღლი სახელად პლუტო).","","","","",""
"14","სტატისტიკამ 1977 წელს ნიუ-იორკში ადამიანის კბენის 24 712 შემთხვევა დააფიქსირა. აქედან პირველ ადგილზე ძაღლი დგას (22 076 შემთხვევა), მეორეზე - კატა (1 152 შემთხვევა). დაასახელეთ ამ სიის მესამე წევრი, თუ მისი მაჩვენებელია 892 შემთხვევა.","მესამე ადგილზე ადამიანი დგას.","","","","",""
"15","იტალიური ანდაზა: “არ გაეკიდო არც ქალს და არც ტრამვაის. აუცილებლად ...” დაასრულეთ ანდაზა ორი სიტყვით.","“... მოვა შემდეგი”.","","","","",""
"16","იტალიაში გამოუშვეს ყავის ფინჯანი სპეციალურად ზარმაცი და დაბნეული ადამიანებისათვის. ფინჯანი ელექტროფიცირებული იყო და როცა მასში სითხე საჭირო დონეს აღწევდა, გაისმოდა მელოდიური ზარი. ამ ჭურჭელმა ჰპოვა საკმაოდ უჩვეულო გასაღების ბაზარი. ვინ ყიდულობდა მას?","უსინათლოები.","","","","",""
"17","ერთ-ერთი სოციოლოგიური გამოკითხვის დროს რესპონდენტებს უსვამდნენ კითხვას, რომელშიც მე გამოვტოვე ერთი სიტყვა: ""რომელმა ... მიაყენეს განსაკუთრებული ზიანი რუს ერს და სსრკ-ს სხვა ერებს?"" ყველაზე პოპულარული პასუხები იყო: ბერია (5.8%), ლენინი (2.5%), ტროცკი, ჰიტლერი, კაგანოვიჩი, სვერდლოვი და ჩუბაისი. დაასახელეთ გამოტოვებული სიტყვა.","“...ებრაელებმა...”.","","","","",""
"18","ბავშვთა სათამაშოების მწარმოებელი ერთი ამერიკული კომპანიის მფლობელი საკუთარ ბავშვზე ცდიდა ხოლმე ახალ სათამაშოებს. გარკვეულწილად, მისი 2 წლის ვაჟიშვილის ""აზრი"" იყო გადამწყვეტი, დადგებოდა თუ არა ახალი სათამაშო კონვეერზე. ვინაიდან ბავშვი იყო ძლიერი, ამგვარად მოწმდებოდა სათამაშოს გამძლეობაც. ერთხელაც, ნორჩ ექსპერტს მოუტანეს სათამაშო მანქანის ახალი მოდელი, რომლის კორპუსი ახალი ტიპის პლასტმასისგან იყო დამზადებული. ეს მასალა არ გამოირჩეოდა განსაკუთრებული გამძლეობით, მაგრამ ეს მანქანა სხვა სათამაშოებზე უფრო დიდხანს დარჩა დაუმტვრეველი. თუ თქვენ გესმით ბავშვის ფსიქოლოგია, თქვენ არ გაგიჭირდებათ ამ მასალის მთავარი განმასხვავებელი ნიშნის დასახელება.","ის გამჭვირვალეა (ბავშვებს ძალიან აინტერესებთ, თუ რა არის სათამაშოს შიგნით, გამჭვირვალე სათამაშო კი ამ ინტერესს მათ გარკვეულწილად უკარგავს).","","","","",""
"19","კოლექციონერებისთვის ცნობილია არაერთი კურიოზული მარკა. ერთ-ერთი მათგანი, რომელიც გამოუშვეს აშშ-ში, ეძღვნება ვიკინგების მიერ ამერიკის აღმოჩენას. მარკაზე გამოსახულია ვიკინგების ნავი - დრაკარი. გამოსახულია ძალიან დეტალურად, მაქსიმალური სიზუსტით. მაგრამ, მხატვარმა დრაკარის გამოსახულებას დაამატა ერთი დეტალი-ანაქრონიზმი, რომელმაც ეს შესანიშნავი მარკა კურიოზად აქცია. მაქსიმალური სიზუსტით დაასახელეთ ეს დეტალი.","აშშ-ს დროშა.","","","","",""
"20","ჩაიწერეთ ლათინური ასოები: C, C, D, I, I, J, L, L, M, U, V, V, X, X, Y. ერთ ცნობილ წიგნზე ამ ასოების დახმარებით წერია თარიღი: რიცხვი, თვე და წელი. მიუხედავად იმისა, ნამყოფი ხართ თქვენ იქ, სადაც განლაგებულია ეს წიგნი, თუ არა, ყველა თქვენთაგანს ნანახი აქვს ის კინოში ან ნახატებზე. დაასახელეთ ზემოთ ნახსენები რიცხვი, თვე და წელი.","MDCCLXXVI JULY IV, ანუ 1776 წლის 4 ივლისი - ეს თარიღი წერია წიგნზე, რომელიც ხელში უჭირავს თავისუფლების ქანდაკებას.","","","","",""
"21","მეოცე საუკუნის ეს ქმნილება, რომლის სახელიც ვინი-პუჰს ძალიან მოეწონებოდა, უამრავი სახის არსებობს. ყველაზე ძვირფასი ეგზემპლიარი შექმნილია 18 კარატიანი ოქრითი და მორთულია ვარდისფერი და თეთრი ბრილიანტებით. ამის მქონე ადამიანს იასირ არაფატთან 200 მეტრზე ახლოს მიახლოება ეკრძალება. რაზეა საუბარი?","საუბარია ფიჭურ ტელეფონზე.","","","","",""
"22","აშშ-ში 1965 წლის 9 ნოემბერს მომხდარი ეს ფაქტი მიზეზი გახდა 1966 წლის აგვისტოში შობადობის რიცხვის გაზრდისა. რა მოხდა 1965 წლის 9 ნოემბერს?","რამოდენიმე საათით მწყობრიდან გამოვიდა მთელი ამერიკის ენერგოსისტემა, რის შედეგადაც ამერიკა მთელი ღამე სიბნელეში იჯდა...","","","","",""
"23","ურუგვაი. 1930 წელი. დამთავრდა პირველი მსოფლიო ჩემპიონატი ფეხბურთში და გუნდები ორგანიზებულად მიდიან პორტში, გადიან რეგისტრაციას, ავსებენ ყველა შესაძლო დოკუმენტს, სხდებიან გემებზე და მიემგზავრებიან თავიანთ ქვეეყნებში. ერთ-ერთი გემის გამგზავრება, რომლითაც ლათინური ამერიკის რამოდენიმე ჯგუფი ბრუნდებოდა სამშობლოში, პორტში ოთხი საათით შეფერხდა. ამაში “დამნაშავე” კი გახლდათ მექსიკის ნაკრები, უფრო სწორად კი მისი მეკარე ოსკარ ბონფილიო. რა დადებითი ნიშნით განსხვავდებოდა ოსკარი სხვა თავისი თანაგუნდელებისგან?","მან იცოდა წერა (და თავისი ყველა გუნდელის მაგივრად ავსებდა დოკუმენტებს).","","","","",""
"24","არაბულ ენაში ასოებს დაწერის ოთხი სხვადასხვა ვარიანტი გააჩნიათ. რაზეა დამოკიდებული, თუ როდის რა ვარიანტით უნდა დაწერონ ესა თუ ის ასო?","ეს დამოკიდებულია იმაზე, თუ სად დგას ეს ასო - სიტყვის დასაწყისში, შუაში, ბოლოში თუ მარტო, განცალკევებით.","","","","",""
"25","ამერიკაში არსებობს ტრადიცია, რომ სკოლადამთავრებულმა კლასმა ისეთი რამე უნდა მოაწყოს, რომ სკოლას დიდი ხანი არ დაავიწყდეს. ასე მოიქცა ერთ-ერთი გამოსაშვები კლასი და ბოლო დღეს სკოლის შენობაში სამი ღორი შეაგდეს სხვადასხვა ადგილზე, რის შედეგადაც სკოლაში ორი დღე არეულობა სუფევდა. პირველ ორ ღორზე დაწერილი იყი ციფრები 1 და 2. რა ეწერა მესამე ღორზე?","მესამე ღორზე ეწერა ციფრი 4 (არეულობა კი 2 დღე იმიტომ გაგრძელდა, რომ ადმინისტრაცია ეძებდა ნომერ მესამე ღორს, რომელიც არ არსებობდა).","","","","",""
"26","სულ პირველად არსებული წესების მიხედვით, კალათბურთელს, რომლის ხელშიც იყო ბურთი მხოლოდ ორი რამის გაკეთება შეეძლო. დაასახელეთ ორივე ქმედება.","მას ან სხვისთვის უნდა მიეცა პასი, ან ბურთი პირდაპირ კალათისაკენ გაეგზავნა (დრიბლინგი მხოლოდ 5 წლის შემდეგ იქნა შემოღებული).","","","","",""
"27","პირველად ოლიმპიური ფიცი დადებულ იქნა 1920 წელს არვენტინაში. მანდვე ჩატარდა პირველად ეს ცერემონია, რომელიც დღეს ყველა ოლიმპიელისთვის ნაცნობია. რა ცერემონიაზეა საუბარი?","ეს არის ოლიმპიური დროშის აღმართვის ცერემონია (და არა ოლიმპიური ცეცხლის ანთების. იგი პირველად 1928 წელს აანთეს).","","","","",""
"28","მონღოლეთი, რუსეთი, ჩრდილოეთ კორეა, ჰონკონგი, მაკაო, ლაოსი, ვიეტნამი, ბირმა, ინდოეთი, ბუტანი, ნეპალი, პაკისტანი, ყაზახეთი, ავღანეთი, ტაჯიკეთი, ყირგიზეთი. დაასახელეთ ქვეყანა, რომელიც ზემოთჩამოთვლილ ქვეყნებს აერთიანებს.","ჩინეთი (ჩამოთვლილი იყო ჩინეთის 16 სახმელეთო მეზობელი).","","","","",""
"29","ის იბრძოდა და ორჯელ იყო დაჭრილი. მან პუტჩშიც მიიღო მონაწილეობა და ციხეში 5 წელი გაატარა სამშობლოს ღალატის ბრალდებით. ციხეში მან წიგნის წერა დაიწყო, რომელსაც თავდაპირველად “ტყუილის, სისულელის და სიმხდალის წინააღმდეგ ბრძოლის ოთხნახევარი წელი” დაარქვა, ხოლო საბოლოოდ მსოფლიომ ეს წიგნი მანც სხვა სათაურით გაიცნო. დაასახელეთ ეს სათაური.","“ჩემი ბრძოლა” (“Main Kampf” - საუბარი იყო ადოლფ ჰიტლერზე).","","","","",""
"30","კარდინალ რიშელიეს ძალიან უყვარდა ვაშლის სუნი და იგი მაგიდის უჯრაში გამუდმებით ინახავდა ვაშლებს. ერთხელაც მან თავის აფთიაქარს შეუკვეთა დაემზადებინა ერთგვარი საცხი ამ ვაშლებისა და ცხიმებისაგან. დაასახელეთ სიტყვა, რომელიც ამ საცხთან ერთად დაიბადა და რომლითაც (სიტყვითაც) დღესაც სარგებლობენ.","ეს სიტყვაა “პომადა” (ფრანგ. “la pome” - ნიშნავს ვაშლს. აქედანვე მოდის პომიდვრის სახელწოდება. “პომიდორი” ფრანგულად ჟღერს, როგორც “წითელი ვაშლი”).","","","","",""
"31","არცთუ დიდი ხანია, რაც ამერიკულ სლენგში გამოჩნდა ერთი ახალი ფრაზა, რომელსაც ცხოვრებას ჩამორჩენილ ადამიანის მოსახსენიებლად იყენებენ ხოლმე. პირდაპირ ქართულ თარგმანში ეს ფრაზა შედგება სამი სიტყვისგან. პირველი სიტყვაა “ათი”, მესამე - “ადამიანი”. დაასახელეთ მეორე სიტყვა, თუ ის ნათესაობით ბრუნვაშია.","“სექტემბრის” (“ათი სექტემბრის ადამიანი”).","","","","",""
"32","1829 წელს ფრანგული გაზეთის “Review de Paris” მთავარმა რედაქტორმა ვერნონმა მოიგონა ხერხი, რომლის საშუალებითაც თავისი გაზეთის ხელმომწერთა რაოდენობა ერთი ორად გაზარდა. რა ხერხი მოიგონა მან, თუ ამ ხერხს მრავალი ჟურნალ-გაზეთი დღესაც წარმატებით იყენებს?","მან თავის გაზეთში დაიწყო სტატიების და სხვა მასალის ნაწილ-ნაწილ გამოქვეყნება, ხალხი კი, დაინტერესებული სტატიის გაგრძელებით იძულებული იყო ეყიდა შემდეგი ნომერი, შემდეგ მომდევნო ნომერი და ა.შ. (ანუ, ერთი სიტყვით “გაგრძელება შემდეგ ნომერში”, რომელსაც დღესაც ხშირად შევხვდებით).","","","","",""
"33","იაპონიაში არსებობს ასეთი დაუწერეილი კანონი: სტუდენტი გოგო ინსტიტუტში ორი დღე ზედიზედ ერთი და იგივე ტანსაცმლით არ უნდა გამოცხადდეს. რატომ?","ამ კანონის შესრულება ამტკიცებს იმას, რომ გოგომ ის ღამე სახლში გაატარა.","","","","",""
"34","დაასრულეთ ჰემინგუეის სიტყვები: “ყველა ამბავი, თუ მას ბოლომდე მოვყვებით, მთავრდება...” რით?","“...სიკვდილით”.","","","","",""
"35","არსებობს ძველი ლეგენდა შავი ჭირისა და მოგზაურის შესახებ:გზაზე ერთმანეთს შავი ჭირი და მოგზაური შეხვდნენ.- საით მიდიხარ? - ჰკითხა მოგზაურმა ჭირს.- ბაღდადში, 5 000 ადამიანი უნდა გამოვასალმო სიციცხლეს, - უპასუხა მან.რამოდენიმე დღის შემდეგ ისინი კვლავ შეხვდნენ ერთმანეთს.მოგზაურმა ჭირს უსაყვედურა:- შენ მითხარი 5 000 კაცი უნდა მოვკლაო, ბაღდადში კი 50 000 ადამიანი დაღუპულა!- მე შენ არ მომიტყუებიხარ, - უპასუხა ჭირმა. - მე მართლაც 5 000 კაცი მოვკალი.რამ გამოიწვია დანარჩენების სიკვდილი ლეგენდის თანახმად?","დანარჩენების სიკვდილი შიშმა გამოიწვია.","","","","",""
"36","ეს სიტყვები ჩვ. წ. აღ-მდე 44 წელს გაჩდნენ და მეგობრისადმი გზავნილს წარმოადგენდნენ. დღეს კი მათი ნახვა იმათ შეუძლია, ვინც საკუთარ ჯანმრთელობას საკუთარი ნებით აგდებს საფრთხეში. დაასახელეთ ეს სიტყვები.","ეს სიტყვებია “მიველ, ვნახე, გავიმარჯვე” (ეს სიტყვები “Marlboro”-ს კოლოფს აწერია).","","","","",""
"37","ესპანეთის ყველაზე მაღალი მთის - ვულკან ტეიდეს  - სიმაღლე ყოველწლიურად სულ უფრო და უფრო მცირდება. ესპანელი გეოდეზისტების მტკიცებით ატლასებში მითითებული მისი სიმაღლე - 3 718 მეტრი - ბოლო წლების განმავლობაში სამი მეტრით შემცირდა. რა არის ამის მიზეზი?","ამის მიზეზი ტურისტების სიმრავლეა - მათ ამ მთიდან სამახსოვროდ ქვები მიაქვთ.","","","","",""
"38","მეცნიერებმა დაადგინეს, რომ მსოფლიო რეკორდი მაჩვენებლით 50 სმ ეკუთვნის ერთ-ერთ კალიფორნიულ წყალმცენარეს. მისი მაჩვენებელი ბამბუკისასაც კი უსწრებს! რას გვიჩვენებს ეს რიცხვი?","ეს რიცხვი გვიჩვენებს დღე-ღამეში ზრდის სიგრძეს (ანუ ეს კალიფორნიული წყალმცენარე ყველაზე სწრაფად იზრდება - დღე-ღამეში 50 სმ-ით).","","","","",""
"39","აბულ-ფარიჯი წერს, რომ სიტყვა, სანამ ის ითქმება, ტუსაღია მისი, ვინც მას იტყვის. რა ხდება მას შემდეგ, რაც სიტყვა ითქმება?","ადამიანი თვითონ ხდება მის მიერ ნათქვამი სიტყვის ტყვე.","","","","",""
"40","ძველ საბერძნეთში ჰიმნები სამი ნაწილისაგან შედგებოდა. პირველი - მიმართვა ღვთაებასთან, მესამე - დახმარების თხოვნა. რისგან შედგებოდა მეორე ნაწილი?","მეორე ნაწილში მოთხრობილი იყო მითი ამ ღვთაების შესახებ.","","","","",""
"41","ამ რომაულ ოჯახში პირველ შვილს ერქვა მარკუსი, მეორეს - ტიბერიუსი, მესამეს - ალექსანდრე, მეოთხეს - ლუციუსი... რა ერქვა მეხუთე შვილს?","მეხუთე შვილს ერქვა კვინტი (ძველ რომში საკუთარ სახელებს მხოლოდ პირველ ოთხ შვილს არქმევდნენ, ხოლო დანარჩენების სახელები რიცხვებით განისაზღვრებოდა - კვინტი, სიქსტი და ა.შ.)","","","","",""
"42","ჟურნალ “GEO”-ს 1998 წლის 3 ნომრის მიხედვით ჩიკაგოში მომხდარი ეს მოვლენა XIX საუკუნის 70-იან წლებში ამავე მცხოვრები ძროხის სახელად მისის ო’ლირის ბრალია. მაინც, რა საყოველთაოდ ცნობილ ფაქტზეა საუბარი?","ეს არის 1871 წლის ხანძარი ჩიკაგოში. ჟურნალ “GEO”-ს მიხედვით, ეს ხანძარი გამოიწვია ძროხამ, რომელმაც სანტელი წააქცია.","","","","",""
"43","ინგლისელმა ლეიბორისტმა ფილიპ ნოუდელმა თქვა, რომ ასეთი ხალხი არც საბჭოთა კავშირში არ არსებობდა და არც დარტმუდის ციხეში და თანაც ერთი და იგივე მიზეზის გამო. საბჭოთა კავშირში ასეთი ხალხი ოფიციალურად მართლაც არ არსებობდა, სამაგიეროდ დღეს პოსტსაბჭოთა ქვეყნები ერთერთი ლიდერები არიან მთელს მსოფლიოში ამ ხალხის რაოდენობის მიხედვით. რა ტიპის ხალხზეა საუბარი?","საუბარია უმუშევრებზე.","","","","",""
"44","ცოტა ხნის წინ იტალიაში მოდაში იყო დიეტა, რომლის მიხედვითაც საკვები მკაცრად განსაზღვრული მიმდევრობით უნდა გეჭამათ. მაგალითად, ჭამა უნდა დაგეწყოთ მაყვლით, პომიდვრით ან წითელი ხიზილალით, ცოტა შესვენების შემდეგ მოდიოდა ბანანი, შემწვარი კარტოფილი ფრი ან მოხარშული კვერცხის გული და ბოლოს კი უნდა დაგეყოლებინათ მჭვანილი, კიტრი ან კივის ნაყოფი. თუ თქვენ ამ დიეტის საჭმელების მიმდევრობის პრინციპს მიხვდით მისი (დიეტის) სახელწოდების გამოცნობაც არ გაგიჭირდებათ.","შუქნიშანი (საკვები დალაგებულია ფერების მიხედვით - წითელი, ყვითელი და მწვანე).","","","","",""
"45","როგორც ამბობენ, ჩინელი იმპერატორები ძალზედ იშვიათად ავადმყოფობდნენ. ამას ზოგიერთი იმპერატორის კარზე მომსახურე ექიმების შრომის ანაზღაურების სისტემით ხსნის. რაში მდგომარეობდა ანაზღაურების განსაკუთრებული პრინციპი?","იმპერატორის ავადმყოფობის პერიოდში მედიკოსებს ხელფასს არ უხდიდნენ და ისინიც ყველა ღონეს ხმარობდნენ იმპერატორის მაქსიმალურად სწრაფად გამოჯანმრთელებისთვის.","","","","",""
"46","2002 წელს რუსეთში გამოვიდა წიგნი სახელწოდებით “პორი ჰატერი და ქვა ფილოსოფი”. ამ წიგნში არა მარტო ჯოან როულინგის პაროდიაა. მასში მრავლად შეხვდებით შაყირს დღევანდელი რეალობის შესახებ. ერთი ეპიზოდი: ერთი კვირით დასასვენებლად მყოფი პორი სკოლაში ბრუნდება და მასთან ერთდროულად ხუთი ბუ მიფრინდება. ერთი მისი საკუთარი ბუა, მეორემ დედ-მამისგან წერილი მიუტანა, ხოლო დანარჩენ სამს პორიმ იგნორირება გაუკეთა იმის მიუხედავად, რომ მათ რაღაც მოჰქონდათ. რა მოჰქონდათ მათ?","სპამი.","","","","",""
"47","ვადიმ ნიკიტინი, მოსკოვის რამოდენიმე რესტორნის მფლობელი, თვლის, რომ ბორშჩის კარგან მომზადება უფრო რთულია, ვიდრე ბაყაყის ფეხების. ამ სიტყვებით იგი თითქმის იმეორებს კონფუცის ერთ გამონათქვამს. რატომ არის მისი აზრით კარგი ბორშჩის მომზადება ასეთი რთული?","იმიტომ, რომ ყველამ კარგად იცის, თუ როგორი გემო უნდა ჰქონდეს ბორშჩს, მაგრამ ბაყაყის ფეხები ცოტას თუ აქვს გასინჯული (კონფუცის აქვს ასეთი სიტყვები: მამლის დახატვა უფრო რთულია, ვიდრე ეშმაკისო).","","","","",""
"48","რომელი ცნობილი ამერიკული ფირმა დააარსეს XX საუკუნის დასაწყისში ორმა რუსმა პიროვნებამ - დავიდოვმა და ხარლამოვმა?","ჰარლეი-დევიდსონი.","","","","",""
"49","ცნობილია, რომ ძველი რომის ბაზრებზე ეს ხალხი არ არსებობდა. ლათინურად მათ უწოდებდნენ zonarius sector. ჩვენ კი მათ ორი სიტყვისგან შემდგარ იმ კომბინაციით მოვიხსენიებთ, რომლის წარმომავლობაც აშკარად იმას უკავშირდება, რაც რომაელებს არ ჰქონდათ. რას ვუწოდებთ ჩვენ ამ ხალხს?","ჯიბის ქურდებს (ძველი რომაელებს ტანსაცმელზე ჯიბეები არ ჰქონდათ. ისინი ფულს სარტყელში ან მასზე დამაგრებულ ქისაში ინახავდნენ. ჯიბის ქურდების ლათინური სახელწოდებაც სწორედ აქედან მოდის და ის სიტყვასიტყვით ითარგმნება როგორც “სარტყელის მჭრელი” (zona - სარტყელი)).","","","","",""
